vid_path,id_label,gloss,label
clips\95\14.MOV,95,HOT,HOT
clips\25\12.MOV,25,SIX,SIX
clips\1\24.MOV,1,GOOD AFTERNOON,GOOD AFTERNOON
clips\47\25.MOV,47,SATURDAY,SATURDAY
clips\16\1.MOV,16,WRONG,WRONG
clips\8\1.MOV,8,WELCOME,YOU ARE WELCOME
videos/44/8.mp4,44,PROUD YOU,I AM PROUD OF YOU!
clips\51\1.MOV,51,YESTERDAY,YESTERDAY
clips\65\24.MOV,65,WOMAN,WOMAN
clips\91\26.MOV,91,RICE,RICE
clips\55\39.MOV,55,DAUGHTER,DAUGHTER
clips\33\48.MOV,33,APRIL,APRIL
clips\37\26.MOV,37,AUGUST,AUGUST
clips\70\7.MOV,70,DEAF BLIND,DEAF BLIND
clips\59\24.MOV,59,AUNTIE,AUNTIE
clips\0\1.MOV,0,GOOD MORNING,GOOD MORNING
videos/45/32.mp4,45,CLASS/GROUP WIN,OUR TEAM WON!
videos/9/20.mp4,9,FINE,I AM FINE.
clips\32\5.MOV,32,MARCH,MARCH
videos/40/35.mp4,40,GHOST,I SAW A GHOST.
clips\97\24.MOV,97,JUICE,JUICE
clips\50\34.MOV,50,TOMORROW,TOMORROW
videos/29/28.mp4,29,YOU MUCH SLOW / MUCH SLOW,YOU ARE SO SLOW!
clips\78\23.MOV,78,YELLOW,YELLOW
clips\100\45.MOV,100,TEA,TEA
clips\102\11.MOV,102,WINE,WINE
clips\74\20.MOV,74,RED,RED
videos/38/26.mp4,38,WORRY,I AM WORRIED.
clips\94\31.MOV,94,CRAB,CRAB
clips\103\9.MOV,103,SUGAR,SUGAR
clips\98\42.MOV,98,MILK,MILK
clips\50\3.MOV,50,TOMORROW,TOMORROW
videos/23/10.mp4,23,TIRED,I AM TIRED.
clips\60\40.MOV,60,COUSIN,COUSIN
clips\83\36.MOV,83,LIGHT,LIGHT
clips\102\37.MOV,102,WINE,WINE
videos/17/25.mp4,17,NOT LIKE YOU,I DO NOT LIKE YOU.
clips\57\33.MOV,57,GRANDMOTHER,GRANDMOTHER
